,GP,W,L,WIN%,PTS,OPPPTS
Atlanta Hawks,82,29,53,0.354,9294,9788
Boston Celtics,82,49,33,0.598,9216,8852
Brooklyn Nets,82,42,40,0.512,9204,9210
Charlotte Hornets,82,39,43,0.476,9081,9171
Chicago Bulls,82,22,60,0.268,8605,9295
Cleveland Cavaliers,82,19,63,0.232,8567,9355
Dallas Mavericks,82,33,49,0.402,8927,9032
Denver Nuggets,82,54,28,0.659,9075,8751
Detroit Pistons,82,41,41,0.5,8778,8798
Golden State Warriors,82,57,25,0.695,9650,9120
Houston Rockets,82,53,29,0.646,9341,8950
Indiana Pacers,82,48,34,0.585,8857,8584
LA Clippers,82,48,34,0.585,9442,9372
Los Angeles Lakers,82,37,45,0.451,9165,9306
Memphis Grizzlies,82,33,49,0.402,8490,8703
Miami Heat,82,39,43,0.476,8668,8687
Milwaukee Bucks,82,60,22,0.732,9686,8959
Minnesota Timberwolves,82,36,46,0.439,9223,9346
New Orleans Pelicans,82,33,49,0.402,9466,9575
New York Knicks,82,17,65,0.207,8575,9330
Oklahoma City Thunder,82,49,33,0.598,9387,9108
Orlando Magic,82,42,40,0.512,8800,8742
Philadelphia 76ers,82,51,31,0.622,9445,9224
Phoenix Suns,82,19,63,0.232,8815,9581
Portland Trail Blazers,82,53,29,0.646,9402,9058
Sacramento Kings,82,39,43,0.476,9363,9455
San Antonio Spurs,82,48,34,0.585,9156,9018
Toronto Raptors,82,58,24,0.707,9384,8885
Utah Jazz,82,50,32,0.61,9161,8730
Washington Wizards,82,32,50,0.39,9350,9588